#Project: Theophylline
#PK-Sim version: 9.0.170
"IndividualId","Gender","Population","Population Name","Organism|Weight [kg]","Organism|BMI [kg/dm²]","Organism|BSA [dm²]","Organism|Gestational age [week(s)]","Organism|Age [year(s)]","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Height [dm]","Organism|Hematocrit","Organism|VenousBlood|Volume [l]","Organism|ArterialBlood|Volume [l]","Organism|Bone|Specific blood flow rate [l/min/kg organ]","Organism|Bone|Volume [l]","Organism|Brain|Volume [l]","Organism|Brain|Specific blood flow rate [l/min/kg organ]","Organism|Fat|Volume [l]","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate [l/min/kg organ]","Organism|Gonads|Volume [l]","Organism|Gonads|Specific blood flow rate [l/min/kg organ]","Organism|Heart|Volume [l]","Organism|Heart|Specific blood flow rate [l/min/kg organ]","Organism|Kidney|Volume [l]","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR [week(s)]","Organism|Kidney|Age of aging onset [year(s)]","Organism|Kidney|GFRmat [l/min]","Organism|Kidney|Aging half-time [year(s)]","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Specific blood flow rate [l/min/kg organ]","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius [dm]","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Gastric emptying time [min]","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|Length [dm]","Organism|Lumen|Stomach|Proximal radius [dm]","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume [l]","Organism|Stomach|Specific blood flow rate [l/min/kg organ]","Organism|SmallIntestine|Small intestinal transit time [min]","Organism|SmallIntestine|Volume [l]","Organism|SmallIntestine|Specific blood flow rate [l/min/kg organ]","Organism|LargeIntestine|Large intestinal transit time [min]","Organism|LargeIntestine|Volume [l]","Organism|LargeIntestine|Specific blood flow rate [l/min/kg organ]","Organism|Liver|Volume [l]","Organism|Liver|Specific blood flow rate [l/min/kg organ]","Organism|Lung|Volume [l]","Organism|Lung|Fraction vascular","Organism|Muscle|Volume [l]","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Vf (water)","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate [l/min/kg organ]","Organism|Pancreas|Volume [l]","Organism|Pancreas|Specific blood flow rate [l/min/kg organ]","Organism|PortalVein|Volume [l]","Organism|Skin|Volume [l]","Organism|Skin|Specific blood flow rate [l/min/kg organ]","Organism|Spleen|Volume [l]","Organism|Spleen|Specific blood flow rate [l/min/kg organ]","CYP1A2|Ontogeny factor","CYP1A2|Ontogeny factor GI","CYP1A2|Reference concentration [µmol/l]","CYP1A2|t1/2 (liver) [min]"
0,MALE,European_ICRP_2002,Population 100 subj,64.9935186032118,0.234506271329781,173.368965230596,40,33.9363384311722,0.995550655042849,1.18368888268608,16.6478361927042,0.47,0.975904627999421,0.450632051652155,0.0257643933433696,10.7955643491606,1.39440638935923,0.483979834739481,15.3431928358263,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0228916468694415,0.0375842187149002,0.0821111566320991,0.324673568370485,0.651376494613762,0.576930548815514,0.9,45.4584171062975,30,0.148312425093048,54,15.054898901254,1.5,2.70947901919765,1.4290856433225,0.5,1.05562335393711,10.710990882952,2.49798427730942,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169345643183514,0.409403733692396,192.14344481447,0.492029025055937,0.846495819973137,2652,0.306684790570056,0.661918664591762,1.22661764623787,0.191102350826192,1.05243230906908,0.58,26.9922430895747,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0331956028767053,0.183971670617471,0.351792282350815,0.908063153320252,3.49229058049535,0.0877220308366232,0.270952105188944,0.847413535086536,0.200206139162427,1.41932074478682,1.8,1805.62997364416
1,MALE,European_ICRP_2002,Population 100 subj,71.8800104908899,0.214232466232807,191.245934821796,40,37.4527115875169,1.30920337413905,0.943788640249279,18.3172984765633,0.47,0.999719445641585,0.445904899537147,0.0279256739606294,12.9761297223206,1.62975866498935,0.510917304144739,10.6613912807481,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0195923694433704,0.0423189532054901,0.083472518532824,0.378252130481294,0.581865480033216,0.508485987608632,0.9,45.4770611580703,30,0.19015018806393,54,15.3457606882939,1.5,2.7949212389162,0.786413065518165,0.5,0.877406162574802,25.7643693611614,1.51559782218411,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.170553145290897,0.409522738238623,107.784356656844,0.721610272764179,0.818023844163447,2652,0.580171184623471,0.642244884177432,3.48234024719649,0.17320400838101,1.36178630422514,0.58,32.4783637971129,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.031795740100314,0.23253759955615,0.348283421148398,0.936650266324185,3.97890723977242,0.0866014285478423,0.295129349491931,0.852756493681651,0.957908306115462,0.994716909836627,1.8,1942.32345568766
2,MALE,European_ICRP_2002,Population 100 subj,67.5205122211883,0.258711490169578,174.07255435476,40,31.0555857145486,1.29439134019082,1.13475149928132,16.1551131957487,0.47,0.88130215879228,0.389399284980257,0.0264785235939037,10.1078232689778,1.57069125680869,0.519839507219745,15.3691887441346,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0209282106001547,0.0371817237459909,0.0796270028741328,0.522117480332035,0.642903326176995,0.463740553936999,0.9,44.1158993841223,30,0.142959842271649,54,14.8004332141979,1.5,3.10387109781277,1.10075195483621,0.5,0.684346768932077,18.5172072805249,1.30877263210909,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.205916866090931,0.392954913916763,157.688866426414,0.496092954327428,0.921352746125195,2652,0.445858663800093,0.610893222040031,1.90929931873303,0.177050913468313,1.61271977759126,0.58,28.791276854378,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0350700740848687,0.14757015042307,0.353812068270865,0.92911988052991,3.43253964110752,0.0939421279039393,0.208673642498459,0.821554362796827,1.51642643939776,1.32757975380729,1.8,4321.84894024801
3,MALE,European_ICRP_2002,Population 100 subj,75.7440555317857,0.251921984410292,191.008341753232,40,39.8024288936529,0.928785223437691,1.25780214497771,17.3396865723896,0.47,1.00319930477616,0.410666552440407,0.0284751922756136,11.6122606040181,1.46821061096614,0.500343994303877,17.4409034705754,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0198740365393728,0.0403362984711366,0.0771330312698749,0.48899895002548,0.612970252154505,0.34583389772383,0.9,43.9486894616557,30,0.110413017943692,54,14.9905004573128,1.5,2.76424554269779,1.52915709928511,0.5,0.831304943958373,14.1718269542426,0.797239690004514,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.205302099557641,0.367625249131334,209.935571451993,0.66389696407825,0.958015173261112,2652,0.339804946844316,0.635905140280897,1.71751795722156,0.194149414166833,1.57924869184537,0.58,33.4067723600662,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0361852614212778,0.221807607982198,0.34021418200336,0.844228034108275,3.80095037815351,0.0878471357174774,0.154116802931752,0.850621929661669,0.921107799550849,1.08341452606254,1.8,2687.11706919301
4,MALE,European_ICRP_2002,Population 100 subj,81.6026606072583,0.222874509263188,208.267054367426,40,37.2398340922035,1.31399691696726,1.15172123868022,19.1347133006563,0.47,0.931291235606114,0.461908333527246,0.0286587988796734,14.0312774909297,1.51658454522041,0.48990652336648,22.519695173799,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0205431488389877,0.0455075642555564,0.0687119319180877,0.272082908917543,0.582668281894571,0.444670890351011,0.9,45.0436356364311,30,0.121610941881404,54,15.017315149811,1.5,2.81299844686048,3.40437509807342,0.5,0.529107893198402,7.1052886122247,1.3306644428838,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.170259732418034,0.399420488401346,531.446090125273,0.665420723420012,0.833404520224862,2652,0.436251403242222,0.591587195189849,2.1703375745299,0.169033826943016,1.24140062405859,0.58,31.3478799838496,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0373061314277285,0.178072665203983,0.341249743406633,0.979101723947842,3.97520575238032,0.080420510170751,0.215712281601108,0.908491629352758,0.736040550851057,0.90528460478473,1.8,3565.01122941684
5,MALE,European_ICRP_2002,Population 100 subj,66.8897513409949,0.235246830214646,177.009337427877,40,35.0160527997725,0.960507229900805,1.11272222290471,16.8623422802573,0.47,0.8488597993368,0.431691664035028,0.0284958605278199,10.8227500394594,1.62203598793359,0.500304159398657,12.4900049484295,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0217765622116986,0.0392360451300009,0.086677925185062,0.375730345220741,0.599859167905642,0.66634577395147,0.9,44.862409732513,30,0.111426210287863,54,14.8025207218478,1.5,2.81793879638922,0.689170287397288,0.5,1.29849011462372,11.2693777023957,0.538470163879068,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.150567729334601,0.37449545742754,158.015458833808,0.795042791697447,0.863264331694129,2652,0.311318414378542,0.641817116802108,2.273657781184,0.180848876483268,1.2456270371706,0.58,29.8304896493545,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0327118991804366,0.212288240241764,0.337169039576998,0.935860610815944,3.66935843169138,0.0879485608327223,0.168886051629619,0.82865864694063,1.25153294999343,0.814223579459569,1.8,2299.96924402432
6,MALE,European_ICRP_2002,Population 100 subj,70.4838086340052,0.221906538639764,186.802176978547,40,33.5432681504373,0.564008278190483,0.992348569403553,17.8221310203983,0.47,0.987454700793702,0.414021757580452,0.0270355482452254,12.5395712134975,1.54635069259013,0.464507980234527,10.5133527976163,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0227460992302551,0.0442777723630895,0.077006071613753,0.377537860289128,0.610683273643626,0.51504099950285,0.9,45.2342479563135,30,0.142332870534449,54,15.0090924859398,1.5,2.96776865254035,0.773873728863466,0.5,0.758043463276176,22.8672701657603,1.61344621229567,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.168499345144531,0.370456443517276,110.419472081735,0.705315437500192,0.919800942861959,2652,0.488216297564525,0.649353462689028,2.31294805457961,0.169328430954386,1.08471905518393,0.58,33.4905456529185,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0377204319152818,0.155172511367775,0.360256319662837,0.981683479993739,3.96444645859935,0.0908489253788728,0.194654546919757,0.780734763342269,1.92543410868638,0.708329106765138,1.8,266.434401410176
7,MALE,European_ICRP_2002,Population 100 subj,62.6904254176699,0.225340263818195,170.431022103391,40,31.1141539416807,0.85410777805886,0.860998516581653,16.6794301620985,0.47,0.867541103866941,0.43255682470362,0.0257029968570446,10.7554042798264,1.63339710221881,0.51771461471937,9.94363409712894,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0226447350573015,0.0376566554085169,0.0817458539751103,0.505845252985876,0.637145548813362,0.448091455467746,0.9,43.2012838162072,30,0.168583121921596,54,15.290301777847,1.5,3.1792739845807,1.29253801743707,0.5,1.20559212650312,8.24498765274102,0.933737865722533,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.155431624557142,0.383253839877238,84.391065787912,0.649329784780965,0.867024446587618,2652,0.442978230130815,0.605486709393128,2.86750264681597,0.190789079334463,1.31735528064758,0.58,28.0666134468849,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0331727185681223,0.125493465428093,0.330315388363321,1.04424414773721,3.27465081178387,0.0794896265770189,0.122699207296442,0.740983819473307,0.43193115982318,1.79083258820442,1.8,1652.04169944765
8,MALE,European_ICRP_2002,Population 100 subj,62.4763677804644,0.213769031429238,172.249538760666,40,39.9496047757331,1.04973316203432,1.08115871867637,17.0956450299906,0.47,0.958011873864701,0.428172297113727,0.0270251224846278,11.1219682703002,1.72116232599015,0.491267766930201,11.0300227873483,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0231318321360642,0.0375704043870466,0.0794030947514217,0.518326767392804,0.597927576488059,0.44754163775089,0.9,44.3479028976298,30,0.14410710989739,54,14.8042822073324,1.5,2.86237264071664,0.903519100795905,0.5,0.995551529981138,4.24342682573296,0.769530382609385,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160755524707367,0.377428993520866,51.2143283290631,0.838080116410616,0.953361568050056,2652,0.458506011402328,0.629766896771804,2.34445919373784,0.202298424224375,1.24896515968798,0.58,26.4080250807701,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0357633382911454,0.189652999699115,0.371670356759975,0.867963921823414,3.46660005653285,0.0929217130703713,0.230583351544971,0.924306715564036,0.582886019315793,0.758491964853156,1.8,1222.87412537572
9,MALE,European_ICRP_2002,Population 100 subj,65.4420144764367,0.218208744870776,177.431977279088,40,31.1363960481884,1.06143255982803,0.86427222912058,17.3177814343812,0.47,1.00389243331072,0.398745960696683,0.0274287656580093,11.4448831551791,1.48148643171821,0.531007757405593,9.56799300694099,0.79,0.8,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0213157306007253,0.0376216044139693,0.0863444315249717,0.383553997126432,0.607294282421699,0.488403222385881,0.9,45.0003126593399,30,0.0610861295740608,54,14.7946781013834,1.5,3.07471421048867,1.22539530079248,0.5,0.627297159779746,8.75774012600783,1.18492178830947,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.18003856685778,0.36609521395815,161.225173899394,0.710572850087163,0.967206165120132,2652,0.506966978332679,0.575440289868868,2.05662818437228,0.180435564265037,1.0026673972636,0.58,30.9858140749168,0.0238,0.013,0.177,0.0072,0.76,0.811,0.16,0.0049,0.022,0.0042,0.0078,0.079,0.19,0.666,0.76,0.0366041202035003,0.179405976991347,0.353034973795156,0.986335043190918,3.5863791386332,0.0865384678542071,0.440626454018874,0.807505820111948,1.01605490555452,2.40519404373963,1.8,3471.86452537611
