"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Theophylline|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Kidney|Urine|Theophylline|Fraction excreted to urine"
0,0,0,0
0,60,36.60968,0.0211181
0,120,35.60641,0.04518344
0,180,34.13551,0.06808611
0,240,32.70854,0.09002485
0,300,31.35075,0.1110507
0,360,30.0571,0.1312075
0,420,28.82186,0.1505353
0,480,27.64048,0.1690703
0,540,26.50933,0.1868465
0,600,25.42543,0.2038957
0,660,24.3863,0.2202481
0,720,23.38978,0.2359323
0,780,22.43394,0.2509755
0,840,21.51704,0.2654039
0,900,20.63746,0.2792426
0,960,19.79368,0.2925155
0,1020,18.98425,0.3052456
0,1080,18.2078,0.3174551
0,1140,17.463,0.3291651
0,1200,16.74858,0.3403962
0,1260,16.06333,0.3511677
0,1320,15.40607,0.3614985
0,1380,14.77567,0.3714066
0,1440,14.17103,0.3809092
0,1500,13.59112,0.390023
0,1560,13.03493,0.3987638
0,1620,12.5015,0.4071469
0,1680,11.98989,0.4151869
0,1740,11.49922,0.422898
0,1800,11.02862,0.4302934
0,1860,10.57729,0.4373862
0,1920,10.14442,0.4441887
0,1980,9.729273,0.4507129
0,2040,9.331115,0.45697
0,2100,8.949252,0.4629711
0,2160,8.583017,0.4687266
0,2220,8.231771,0.4742466
0,2280,7.8949,0.4795406
0,2340,7.571815,0.484618
0,2400,7.261953,0.4894877
0,2460,6.964772,0.494158
0,2520,6.679753,0.4986373
0,2580,6.406398,0.5029332
0,2640,6.14423,0.5070533
0,2700,5.892791,0.5110048
0,2760,5.651642,0.5147946
0,2820,5.420362,0.5184293
0,2880,5.198545,0.5219153
0,2940,4.985807,0.5252587
0,3000,4.781775,0.5284652
0,3060,4.586092,0.5315405
0,3120,4.398417,0.5344899
0,3180,4.218422,0.5373186
0,3240,4.045794,0.5400316
0,3300,3.880229,0.5426335
0,3360,3.72144,0.5451291
0,3420,3.569149,0.5475224
0,3480,3.42309,0.5498178
0,3540,3.283009,0.5520193
0,3600,3.148659,0.5541307
0,3660,3.019808,0.5561557
0,3720,2.89623,0.5580978
0,3780,2.777709,0.5599604
0,3840,2.664038,0.5617468
0,3900,2.555018,0.5634602
0,3960,2.45046,0.5651034
0,4020,2.350181,0.5666793
0,4080,2.254006,0.5681908
0,4140,2.161766,0.5696404
0,4200,2.073301,0.5710307
0,4260,1.988456,0.5723641
0,4320,1.907084,0.5736429
1,0,0,0
1,60,18.07025,0.01043211
1,120,20.52757,0.02811366
1,180,18.71839,0.04427066
1,240,16.76124,0.05871572
1,300,15.01774,0.07164764
1,360,13.48389,0.08325192
1,420,12.12837,0.09368504
1,480,10.92371,0.1030789
1,540,9.847764,0.1115458
1,600,8.882738,0.1191821
1,660,8.014218,0.1260715
1,720,7.230419,0.1322874
1,780,6.521609,0.1378944
1,840,5.879663,0.1429503
1,900,5.297716,0.1475065
1,960,4.769893,0.1516097
1,1020,4.291104,0.155302
1,1080,3.856886,0.1586214
1,1140,3.463279,0.1616029
1,1200,3.106733,0.1642782
1,1260,2.784043,0.1666763
1,1320,2.492286,0.1688237
1,1380,2.228791,0.1707446
1,1440,1.991099,0.1724611
1,1500,1.776947,0.1739935
1,1560,1.584246,0.17536
1,1620,1.411066,0.1765775
1,1680,1.255627,0.1776611
1,1740,1.116284,0.1786247
1,1800,0.9915246,0.1794809
1,1860,0.8799565,0.1802408
1,1920,0.780301,0.1809149
1,1980,0.6913869,0.1815123
1,2040,0.6121427,0.1820413
1,2100,0.5415909,0.1825094
1,2160,0.4788412,0.1829234
1,2220,0.4230846,0.1832892
1,2280,0.3735873,0.1836123
1,2340,0.3296854,0.1838975
1,2400,0.2907789,0.184149
1,2460,0.2563268,0.1843708
1,2520,0.2258423,0.1845662
1,2580,0.1988878,0.1847384
1,2640,0.1750708,0.1848899
1,2700,0.1540397,0.1850232
1,2760,0.1354799,0.1851405
1,2820,0.1191106,0.1852437
1,2880,0.1046811,0.1853343
1,2940,0.09196813,0.185414
1,3000,0.08077295,0.1854839
1,3060,0.0709189,0.1855453
1,3120,0.06224911,0.1855993
1,3180,0.05462436,0.1856466
1,3240,0.0479213,0.1856881
1,3300,0.04203066,0.1857245
1,3360,0.03685575,0.1857564
1,3420,0.03231108,0.1857844
1,3480,0.02832111,0.185809
1,3540,0.02481915,0.1858305
1,3600,0.02174634,0.1858493
